[C-CORE] Booting Headless Unity Build...
[C-CORE] Routing to scripts/bot.lua...
[BOT:50006] Booting Headless Chaos Node...
[LAB] Initializing Headless Node on Port 50006...
[HEARTBEAT] Node: 0 | Tick:  9361 | Conf:  9359 | Hash: 0xAEF24721 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  9421 | Conf:  9419 | Hash: 0xFAC98F10 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9481 | Conf:  9479 | Hash: 0x623EC778 | Rollbacks:  3 (Resim:   3) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9541 | Conf:  9539 | Hash: 0x7A6943A9 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9601 | Conf:  9599 | Hash: 0x34DB6918 | Rollbacks: 22 (Resim:  22) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9661 | Conf:  9659 | Hash: 0xA3A3EB84 | Rollbacks: 18 (Resim:  18) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9721 | Conf:  9719 | Hash: 0xF87DE89D | Rollbacks: 15 (Resim:  16) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9781 | Conf:  9779 | Hash: 0x19B4DED3 | Rollbacks: 16 (Resim:  16) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9841 | Conf:  9839 | Hash: 0x2F416375 | Rollbacks:  4 (Resim:   4) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9901 | Conf:  9899 | Hash: 0xD96F347E | Rollbacks: 22 (Resim:  22) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  9961 | Conf:  9959 | Hash: 0x118D6A65 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick: 10021 | Conf: 10019 | Hash: 0x31C17DF1 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick: 10081 | Conf: 10079 | Hash: 0x8B4F86C3 | Rollbacks:  6 (Resim:   6) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick: 10141 | Conf: 10139 | Hash: 0x9BF65886 | Rollbacks:  1 (Resim:   1) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick: 10201 | Conf: 10199 | Hash: 0x1A2CEEA3 | Rollbacks: 28 (Resim:  28) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick: 10261 | Conf: 10259 | Hash: 0x1BC5C8F6 | Rollbacks:  3 (Resim:   3) | Stalls:  0
